unit_name,faction,Unit Type,health,save,ward,keywords,weapon_name,weapon_type,attacks,hit,wound,rend,damage,range,ability,Points,Unit Size,move,control,Loadout,Weapon Models,Bought With,warscroll_abilities,rules_source
Magister,Disciples of Tzeentch,Infantry Hero,6,4,,"HERO,CHAOS,DISCIPLES OF TZEENTCH,WIZARD (1),ARCANITE,INFANTRY",Warpsteel Sword,melee,3,3,4,0,2,,-,140,1,5,2,Default,1,,"Imbued with Arcane Fire [Command · Once Per Turn (Army), Any Combat Phase · cost 1] | Spellmaster [Activated · Once Per Turn (Army), Reaction: You declared a Spell ability for a Wizard within 30"" of this unit and the casting roll equalled or exceeded the spell's casting value and that spell has not been unbound · Unbind]",Disciples of Tzeentch - Library.cat#5f48-17e7-d89f-183b
Magister on Disc of Tzeentch,Disciples of Tzeentch,Cavalry Hero,7,4,,"HERO,CHAOS,DISCIPLES OF TZEENTCH,CAVALRY,DISC OF TZEENTCH,FLY,WIZARD (1),ARCANITE",Tzeentchian Runestaff,ranged,1,3,4,0,2,18,-,150,1,14,2,Default,1,,"Fates Converge [Passive] | Spellmaster [Activated · Once Per Turn (Army), Reaction: You declared a Spell ability for a Wizard within 30"" of this unit and the casting roll equalled or exceeded the spell's casting value and that spell has not been unbound · Unbind]",Disciples of Tzeentch - Library.cat#378a-e2c0-6476-f128
Magister on Disc of Tzeentch,Disciples of Tzeentch,Cavalry Hero,7,4,,"HERO,CHAOS,DISCIPLES OF TZEENTCH,CAVALRY,DISC OF TZEENTCH,FLY,WIZARD (1),ARCANITE",Warpsteel Sword,melee,3,3,4,0,2,,-,150,1,14,2,Default,1,,"Fates Converge [Passive] | Spellmaster [Activated · Once Per Turn (Army), Reaction: You declared a Spell ability for a Wizard within 30"" of this unit and the casting roll equalled or exceeded the spell's casting value and that spell has not been unbound · Unbind]",Disciples of Tzeentch - Library.cat#378a-e2c0-6476-f128
Magister on Disc of Tzeentch,Disciples of Tzeentch,Cavalry Hero,7,4,,"HERO,CHAOS,DISCIPLES OF TZEENTCH,CAVALRY,DISC OF TZEENTCH,FLY,WIZARD (1),ARCANITE",Disc’s Teeth and Horns,melee,2,4,3,1,2,,Companion,150,1,14,2,Default,1,,"Fates Converge [Passive] | Spellmaster [Activated · Once Per Turn (Army), Reaction: You declared a Spell ability for a Wizard within 30"" of this unit and the casting roll equalled or exceeded the spell's casting value and that spell has not been unbound · Unbind]",Disciples of Tzeentch - Library.cat#378a-e2c0-6476-f128
Ogroid Thaumaturge,Disciples of Tzeentch,Infantry Hero,8,5,6,"HERO,CHAOS,DISCIPLES OF TZEENTCH,WIZARD (1),ARCANITE,INFANTRY,WARD (6+)",Thaumaturge Staff,ranged,3,3,4,0,2,12,Shoot in Combat,110,1,6,2,Default,1,,"Arcane Absorption [Activated · End of Any Turn] | Thaumaturgic Hunger [Activated · Reaction: Opponent declared a Spell ability for a unit within 30"" of this unit. · Move]",Disciples of Tzeentch - Library.cat#a004-88b6-b2eb-5879
Ogroid Thaumaturge,Disciples of Tzeentch,Infantry Hero,8,5,6,"HERO,CHAOS,DISCIPLES OF TZEENTCH,WIZARD (1),ARCANITE,INFANTRY,WARD (6+)",Great Horns and Cloven Hooves,melee,6,4,2,1,2,,Charge (+1 Damage),110,1,6,2,Default,1,,"Arcane Absorption [Activated · End of Any Turn] | Thaumaturgic Hunger [Activated · Reaction: Opponent declared a Spell ability for a unit within 30"" of this unit. · Move]",Disciples of Tzeentch - Library.cat#a004-88b6-b2eb-5879
Pink Horrors,Disciples of Tzeentch,Infantry,2,5,6,"INFANTRY,CHAMPION,STANDARD BEARER (1/10),MUSICIAN (1/10),CHAOS,DISCIPLES OF TZEENTCH,DAEMON,WARD (6+)",Arcane Flames,ranged,2,4,4,0,1,12,Crit (Auto-wound),170,10,6,1,Default,10,,Lunatic Demise [Passive],Disciples of Tzeentch - Library.cat#2631-6ae3-b25b-2bbf
Pink Horrors,Disciples of Tzeentch,Infantry,2,5,6,"INFANTRY,CHAMPION,STANDARD BEARER (1/10),MUSICIAN (1/10),CHAOS,DISCIPLES OF TZEENTCH,DAEMON,WARD (6+)",Taloned Hands,melee,2,4,4,0,1,,-,170,10,6,1,Default,10,,Lunatic Demise [Passive],Disciples of Tzeentch - Library.cat#2631-6ae3-b25b-2bbf
Screamers of Tzeentch,Disciples of Tzeentch,Beast,3,5,6,"CHAOS,DISCIPLES OF TZEENTCH,DAEMON,WARD (6+),BEAST,FLY",Lamprey Bite,melee,3,4,4,1,1,,"Charge (+1 Damage), Companion",80,3,14,1,Default,3,,"Drawn to Magic [Activated · Once Per Turn (Army), Any Charge Phase · Core, Move, Charge]",Disciples of Tzeentch - Library.cat#a2d4-91ec-cca3-38c0
The Blue Scribes,Disciples of Tzeentch,,5,4,,"HERO,UNIQUE,CHAOS,CAVALRY,FLY,DISCIPLES OF TZEENTCH,DAEMON",Sharpened Quills,melee,2,5,5,0,1,,Wyrdflame,180,1,14,2,Default,1,,Treacherous Bond [Spell · Your Hero Phase · casting value 5 · Spell] | Scrolls of Sorcery [Activated · Your Hero Phase],Disciples of Tzeentch - Library.cat#c98c-bc30-6030-0422
The Blue Scribes,Disciples of Tzeentch,,5,4,,"HERO,UNIQUE,CHAOS,CAVALRY,FLY,DISCIPLES OF TZEENTCH,DAEMON",Disc’s Teeth and Horns,melee,2,4,3,1,2,,Companion,180,1,14,2,Default,1,,Treacherous Bond [Spell · Your Hero Phase · casting value 5 · Spell] | Scrolls of Sorcery [Activated · Your Hero Phase],Disciples of Tzeentch - Library.cat#c98c-bc30-6030-0422
The Changeling,Disciples of Tzeentch,Infantry Hero,6,5,6,"HERO,CHAOS,DAEMON,DISCIPLES OF TZEENTCH,WARD (6+),INFANTRY,UNIQUE,WIZARD (2)",The Trickster’s Staff,melee,3,3,3,1,2,,-,140,1,5,2,Default,1,,Arch-Deceiver [Activated · Your Hero Phase] | Puckish Misdirection [Passive] | Whispers of Treachery [Spell · Your Hero Phase · casting value 7 · Spell],Disciples of Tzeentch - Library.cat#be93-ef60-f866-2f4d
Tome of Eyes,Disciples of Tzeentch,,1,6,6,"WARD (6+),MANIFESTATION,ENDLESS SPELL,DISCIPLES OF TZEENTCH,CHAOS",Incinerating Gaze,melee,6,4,4,0,1,,-,0,1,,,,,,Compendium of Darkness [Activated · Your Hero Phase],Disciples of Tzeentch - Library.cat#19fa-7d20-3f5f-28d
Tzaangor Enlightened,Disciples of Tzeentch,Cavalry,4,4,,"CHAOS,DISCIPLES OF TZEENTCH,FLY,CAVALRY,CHAMPION,ARCANITE,WARFLOCK,DISC OF TZEENTCH",Tzeentchian Spear and Vicious Beak,melee,3,4,3,1,2,,Charge (+1 Damage),200,3,14,1,Default,3,,All Too Predictable [Activated · Any Combat Phase],Disciples of Tzeentch - Library.cat#b7be-ddee-783e-9048
Tzaangor Enlightened,Disciples of Tzeentch,Cavalry,4,4,,"CHAOS,DISCIPLES OF TZEENTCH,FLY,CAVALRY,CHAMPION,ARCANITE,WARFLOCK,DISC OF TZEENTCH",Disc’s Teeth and Horns,melee,2,4,3,1,2,,Companion,200,3,14,1,Default,3,,All Too Predictable [Activated · Any Combat Phase],Disciples of Tzeentch - Library.cat#b7be-ddee-783e-9048
Tzaangor Enlightened on Foot,Disciples of Tzeentch,Infantry,3,4,,"CHAOS,DISCIPLES OF TZEENTCH,CHAMPION,ARCANITE,WARFLOCK,INFANTRY",Tzaangor Spear and Vicious Beak,melee,2,4,3,1,2,,-,110,3,6,1,Default,3,,Vicious Protectors [Passive],Disciples of Tzeentch - Library.cat#7755-a49c-7014-3bd2
Tzaangor Shaman,Disciples of Tzeentch,Cavalry Hero,6,5,,"HERO,CHAOS,DISCIPLES OF TZEENTCH,CAVALRY,FLY,WIZARD (1),ARCANITE,WARFLOCK,DISC OF TZEENTCH",Staff of Change and Ritual Dagger,melee,3,4,3,1,2,,-,130,1,14,2,Default,1,,"Avian Swiftness [Activated · Your Hero Phase] | Wit of Beasts [Activated · Once Per Turn (Army), Any Combat Phase]",Disciples of Tzeentch - Library.cat#ccc4-afaa-f9b3-8b3e
Tzaangor Shaman,Disciples of Tzeentch,Cavalry Hero,6,5,,"HERO,CHAOS,DISCIPLES OF TZEENTCH,CAVALRY,FLY,WIZARD (1),ARCANITE,WARFLOCK,DISC OF TZEENTCH",Disc’s Teeth and Horns,melee,2,4,3,1,2,,Companion,130,1,14,2,Default,1,,"Avian Swiftness [Activated · Your Hero Phase] | Wit of Beasts [Activated · Once Per Turn (Army), Any Combat Phase]",Disciples of Tzeentch - Library.cat#ccc4-afaa-f9b3-8b3e
Tzaangor Skyfires,Disciples of Tzeentch,Cavalry,4,4,,"CHAOS,DISCIPLES OF TZEENTCH,FLY,CAVALRY,CHAMPION,ARCANITE,WARFLOCK,DISC OF TZEENTCH",Arrow of Fate,ranged,2,4,3,1,2,18,-,160,3,14,1,Default,3,,Guided by the Future [Passive] | Destined Quarry [Activated · Your Shooting Phase],Disciples of Tzeentch - Library.cat#ce98-8983-52d0-52a8
Tzaangor Skyfires,Disciples of Tzeentch,Cavalry,4,4,,"CHAOS,DISCIPLES OF TZEENTCH,FLY,CAVALRY,CHAMPION,ARCANITE,WARFLOCK,DISC OF TZEENTCH",Bow Stave and Vicious Beak,melee,1,4,3,0,1,,-,160,3,14,1,Default,3,,Guided by the Future [Passive] | Destined Quarry [Activated · Your Shooting Phase],Disciples of Tzeentch - Library.cat#ce98-8983-52d0-52a8
Tzaangor Skyfires,Disciples of Tzeentch,Cavalry,4,4,,"CHAOS,DISCIPLES OF TZEENTCH,FLY,CAVALRY,CHAMPION,ARCANITE,WARFLOCK,DISC OF TZEENTCH",Disc’s Teeth and Horns,melee,2,4,3,1,2,,Companion,160,3,14,1,Default,3,,Guided by the Future [Passive] | Destined Quarry [Activated · Your Shooting Phase],Disciples of Tzeentch - Library.cat#ce98-8983-52d0-52a8
Tzaangors,Disciples of Tzeentch,Infantry,2,5,,"INFANTRY,CHAMPION,STANDARD BEARER (1/10),MUSICIAN (1/10),CHAOS,DISCIPLES OF TZEENTCH,ARCANITE,WARFLOCK",Savage Blade and Vicious Beak,melee,3,4,3,1,1,,Crit (2 Hits),170,10,6,1,Default,10,,Eldritch Raiders [Passive],Disciples of Tzeentch - Library.cat#480e-a14e-85cd-ffa3
Abhorrant Archregent,Flesh-eater Courts,Infantry Hero,6,5,6,"DEATH,HERO,FLESH-EATER COURTS,WARD (6+),INFANTRY,ABHORRANT,WIZARD (1)",Gory Talons and Fangs,melee,5,3,3,1,2,,-,140,1,6,2,Default,1,,"Countless Servants [Activated · Once Per Turn (Army), Your Hero Phase · Core]",Flesh-eater Courts - Library.cat#cb9f-5427-a3b7-9541
Abhorrant Cardinal,Flesh-eater Courts,Infantry Hero,5,6,6,"DEATH,HERO,FLESH-EATER COURTS,WARD (6+),INFANTRY,PRIEST (1),ABHORRANT",Cursed Crosier,melee,3,4,3,0,2,,-,130,1,6,2,Default,1,,Insular Contemplations [Passive],Flesh-eater Courts - Library.cat#2f4b-8632-d9fe-ac87
Abhorrant Ghoul King,Flesh-eater Courts,Infantry Hero,5,5,6,"DEATH,HERO,FLESH-EATER COURTS,ABHORRANT,FLY,WIZARD (1),WARD (6+),INFANTRY",Bloodstained Talons and Fangs,melee,5,3,3,1,2,,Anti-**^^Hero (+1 Rend)^^**,110,1,6,2,Default,1,,"Vassals, to Arms! [Activated · Once Per Turn (Army), Reaction: You declared a Fight ability for this unit]",Flesh-eater Courts - Library.cat#e3c-b6aa-e6eb-d03f
Abhorrant Ghoul King (Scourge of Ghyran),Flesh-eater Courts,Infantry Hero,5,5,6,"DEATH,HERO,FLESH-EATER COURTS,ABHORRANT,FLY,WIZARD (1),WARD (6+),INFANTRY",Gory Talons and Fangs,melee,5,3,3,1,2,,Anti-**^^Hero^^** (+1 Rend),110,1,6,2,Default,1,,Long Live the King [Passive] | The King's Court [Passive],Flesh-eater Courts - Library.cat#6744-64a7-bdb9-63e8
Abhorrant Ghoul King on Royal Terrorgheist,Flesh-eater Courts,Monster Hero,16,4,6,"DEATH,HERO,MONSTER,FLESH-EATER COURTS,ABHORRANT,FLY,WIZARD (1),WARD (6+)",Death Shriek,ranged,1,4,2,2,3,10,"Shoot in Combat, Companion",400,1,12,5,Default,1,,"Necromantic Limits [Passive] | Wicked Predator [Activated · Once Per Turn (Army), Any Combat Phase] | Ferocious Hunger [Activated · Once Per Turn (Army), Any Combat Phase · Rampage]",Flesh-eater Courts - Library.cat#c3e8-13a9-161d-1573
Abhorrant Ghoul King on Royal Terrorgheist,Flesh-eater Courts,Monster Hero,16,4,6,"DEATH,HERO,MONSTER,FLESH-EATER COURTS,ABHORRANT,FLY,WIZARD (1),WARD (6+)",Gory Talons and Fangs,melee,5,3,3,1,2,,-,400,1,12,5,Default,1,,"Necromantic Limits [Passive] | Wicked Predator [Activated · Once Per Turn (Army), Any Combat Phase] | Ferocious Hunger [Activated · Once Per Turn (Army), Any Combat Phase · Rampage]",Flesh-eater Courts - Library.cat#c3e8-13a9-161d-1573
Abhorrant Ghoul King on Royal Terrorgheist,Flesh-eater Courts,Monster Hero,16,4,6,"DEATH,HERO,MONSTER,FLESH-EATER COURTS,ABHORRANT,FLY,WIZARD (1),WARD (6+)",Terrorgheist’s Fanged Maw,melee,3,4,2,2,5,,"Crit (Mortal), Companion",400,1,12,5,Default,1,,"Necromantic Limits [Passive] | Wicked Predator [Activated · Once Per Turn (Army), Any Combat Phase] | Ferocious Hunger [Activated · Once Per Turn (Army), Any Combat Phase · Rampage]",Flesh-eater Courts - Library.cat#c3e8-13a9-161d-1573
Abhorrant Ghoul King on Royal Terrorgheist,Flesh-eater Courts,Monster Hero,16,4,6,"DEATH,HERO,MONSTER,FLESH-EATER COURTS,ABHORRANT,FLY,WIZARD (1),WARD (6+)",Terrorgheist’s Skeletal Talons,melee,6,4,2,1,2,,"Crit (Mortal), Companion",400,1,12,5,Default,1,,"Necromantic Limits [Passive] | Wicked Predator [Activated · Once Per Turn (Army), Any Combat Phase] | Ferocious Hunger [Activated · Once Per Turn (Army), Any Combat Phase · Rampage]",Flesh-eater Courts - Library.cat#c3e8-13a9-161d-1573
Abhorrant Ghoul King on Royal Zombie Dragon,Flesh-eater Courts,Monster Hero,16,4,6,"DEATH,HERO,MONSTER,FLESH-EATER COURTS,ABHORRANT,FLY,WIZARD (1),WARD (6+)",Gory Talons and Fangs,melee,5,3,3,1,2,,-,400,1,12,5,Default,1,,"Necromantic Limits [Passive] | Monstrous Hunger [Passive] | Draconic Terror [Activated · Once Per Turn (Army), Any Combat Phase · Rampage]",Flesh-eater Courts - Library.cat#eac0-ccfe-4b67-34a
Abhorrant Ghoul King on Royal Zombie Dragon,Flesh-eater Courts,Monster Hero,16,4,6,"DEATH,HERO,MONSTER,FLESH-EATER COURTS,ABHORRANT,FLY,WIZARD (1),WARD (6+)",Draconic Jaws,melee,4,4,2,2,4,,"Crit (Auto-wound), Companion",400,1,12,5,Default,1,,"Necromantic Limits [Passive] | Monstrous Hunger [Passive] | Draconic Terror [Activated · Once Per Turn (Army), Any Combat Phase · Rampage]",Flesh-eater Courts - Library.cat#eac0-ccfe-4b67-34a
Abhorrant Ghoul King on Royal Zombie Dragon,Flesh-eater Courts,Monster Hero,16,4,6,"DEATH,HERO,MONSTER,FLESH-EATER COURTS,ABHORRANT,FLY,WIZARD (1),WARD (6+)",Draconic Claws,melee,7,4,2,1,2,,"Crit (Auto-wound), Companion",400,1,12,5,Default,1,,"Necromantic Limits [Passive] | Monstrous Hunger [Passive] | Draconic Terror [Activated · Once Per Turn (Army), Any Combat Phase · Rampage]",Flesh-eater Courts - Library.cat#eac0-ccfe-4b67-34a
Abhorrant Ghoul King on Royal Zombie Dragon,Flesh-eater Courts,Monster Hero,16,4,6,"DEATH,HERO,MONSTER,FLESH-EATER COURTS,ABHORRANT,FLY,WIZARD (1),WARD (6+)",Baneful Breath,ranged,3,2,4,1,3,10,"Shoot in Combat, Companion",400,1,12,5,Default,1,,"Necromantic Limits [Passive] | Monstrous Hunger [Passive] | Draconic Terror [Activated · Once Per Turn (Army), Any Combat Phase · Rampage]",Flesh-eater Courts - Library.cat#eac0-ccfe-4b67-34a
Abhorrant Gorewarden,Flesh-eater Courts,Infantry Hero,7,5,6,"DEATH,HERO,FLESH-EATER COURTS,ABHORRANT,FLY,WIZARD (1),WARD (6+),INFANTRY",Gory Talons and Fangs,melee,5,3,3,1,2,,-,150,1,12,2,Default,1,,Lord of the Marches [Activated · Deployment Phase · Deploy] | Trespassers! [Activated · Your Movement Phase · Core],Flesh-eater Courts - Library.cat#3a7-f618-ba4d-9f6f
Abhorrant Gorewarden (Scourge of Ghyran),Flesh-eater Courts,,7,5,6,"DEATH,HERO,FLESH-EATER COURTS,ABHORRANT,FLY,WIZARD (1),WARD (6+),INFANTRY",Gory Talons and Fangs,melee,5,3,3,1,2,,-,130,1,12,2,Default,1,,"Swooping Descent [Activated · Once Per Turn (Army), End of Enemy Turn] | Glorious Charge [Passive]",Flesh-eater Courts - Library.cat#27b9-d95e-ac2b-5f2f
Corpsemare Stampede,Flesh-eater Courts,,1,6,6,"DEATH,WARD (6+),MANIFESTATION,ENDLESS SPELL,FLY,FLESH-EATER COURTS",Corpsemare Trample,melee,6,5,3,1,1,,Crit (2 Hits),,1,,,,,,"Trampled Underfoot [Activated · Your Charge Phase · Core, Move, Charge]",Flesh-eater Courts - Library.cat#95b3-ea5e-9e7-7f69
Crypt Flayers,Flesh-eater Courts,Infantry,4,5,6,"WARD (6+),DEATH,CHAMPION,FLY,FLESH-EATER COURTS,KNIGHTS,INFANTRY",Piercing Talons,melee,4,4,3,1,1,,-,160,3,12,1,Default,3,,"To Our Liege [Activated · Once Per Turn (Army), Your Movement Phase]",Flesh-eater Courts - Library.cat#483a-7f4e-15c1-de78
Crypt Flayers,Flesh-eater Courts,Infantry,4,5,6,"WARD (6+),DEATH,CHAMPION,FLY,FLESH-EATER COURTS,KNIGHTS,INFANTRY",Death Scream,ranged,4,4,3,2,1,10,Shoot in Combat,160,3,12,1,Default,3,,"To Our Liege [Activated · Once Per Turn (Army), Your Movement Phase]",Flesh-eater Courts - Library.cat#483a-7f4e-15c1-de78
Crypt Ghast Courtier,Flesh-eater Courts,,4,5,6,"HERO,INFANTRY,WARD (6+),DEATH,FLESH-EATER COURTS,NOBLE",Bone Club and Filthy Claws,melee,5,4,4,0,2,,-,80,1,6,2,Default,1,,Marshal of the Peasantry [Activated · Reaction: You declared a Fight ability for this unit],Flesh-eater Courts - Library.cat#0eac-dd60-75d7-198a
Crypt Ghouls,Flesh-eater Courts,Infantry,1,6,6,"WARD (6+),DEATH,CHAMPION,FLESH-EATER COURTS,INFANTRY,SERFS",Sharpened Teeth and Filthy Claws,melee,2,4,4,0,1,,Crit (Auto-wound),140,20,6,1,Default,20,,Royal Approval [Passive],Flesh-eater Courts - Library.cat#cf8e-f1fc-81a2-c101
Crypt Haunter Courtier,Flesh-eater Courts,Infantry Hero,6,5,6,"DEATH,HERO,FLESH-EATER COURTS,WARD (6+),INFANTRY,NOBLE",Massive Bone Club and Rancid Talons,melee,5,4,3,2,3,,-,120,1,7,2,Default,1,,Knightly Exemplar [Activated · Reaction: You declared a Fight ability for this unit] | Blessed Blood [Activated · Your Hero Phase],Flesh-eater Courts - Library.cat#490b-968d-8f29-a26f
Crypt Horrors,Flesh-eater Courts,Infantry,4,5,6,"WARD (6+),DEATH,CHAMPION,FLESH-EATER COURTS,KNIGHTS,INFANTRY",Club and Septic Talons,melee,4,4,3,1,2,,"Anti-**^^Cavalry^^** (+1 Rend), Crit (Auto-wound)",160,3,7,1,Default,3,,"Holy Blades of Bone [Activated · Once Per Turn (Army), Any Combat Phase]",Flesh-eater Courts - Library.cat#bda3-d9b7-ac69-2c8a
Crypt Infernal Courtier,Flesh-eater Courts,Infantry Hero,6,5,6,"DEATH,HERO,FLESH-EATER COURTS,WARD (6+),INFANTRY,NOBLE,FLY",Piercing Death Screech,ranged,4,4,3,2,2,10,Shoot in Combat,140,1,12,2,Default,1,,"Mind-shattering Cacophony [Activated · Once Per Turn (Army), Your Shooting Phase] | On Winged Steeds [Activated · Once Per Turn (Army), Your Movement Phase]",Flesh-eater Courts - Library.cat#40ae-fea8-d025-4a21
Crypt Infernal Courtier,Flesh-eater Courts,,6,5,6,"DEATH,HERO,FLESH-EATER COURTS,WARD (6+),INFANTRY,NOBLE,FLY",Skewering Claws,melee,5,4,3,1,2,,-,140,1,12,2,Default,1,,"Mind-shattering Cacophony [Activated · Once Per Turn (Army), Your Shooting Phase] | On Winged Steeds [Activated · Once Per Turn (Army), Your Movement Phase]",Flesh-eater Courts - Library.cat#40ae-fea8-d025-4a21
Cryptguard,Flesh-eater Courts,Infantry,1,6,6,"WARD (6+),DEATH,CHAMPION,FLESH-EATER COURTS,STANDARD BEARER (1/10),MUSICIAN (1/10),SERFS,INFANTRY",Cursed Weapon,melee,3,4,4,1,1,,"Anti-charge (+1 Rend), Crit (Auto-wound)",120,10,6,1,Default,10,,"Royal Bodyguard [Passive] | Elite Guardians [Activated · Once Per Turn (Army), Any Combat Phase]",Flesh-eater Courts - Library.cat#3ca4-c35b-27c9-63c4
Grand Justice Gormayne,Flesh-eater Courts,Infantry Hero,5,5,6,"DEATH,UNIQUE,HERO,FLESH-EATER COURTS,ABHORRANT,INFANTRY,WARD (6+)",Gore-streaked Gavel,melee,4,4,3,0,2,,-,130,1,6,2,Default,1,,Arrest those Miscreants [Activated · Your Charge Phase],Flesh-eater Courts - Library.cat#52f6-b3c0-7891-bb69
High Falconer Felgryn,Flesh-eater Courts,Infantry Hero,5,4,6,"DEATH,UNIQUE,HERO,FLESH-EATER COURTS,ABHORRANT,INFANTRY,WARD (6+)",Carrion Flock,ranged,1,4,4,0,3,12,"Shoot in Combat, Companion",120,1,6,2,Default,1,,Be Mine Eyes [Activated · Your Hero Phase] | Winged Reconnoitrer [Passive],Flesh-eater Courts - Library.cat#9246-4272-bb2c-513d
High Falconer Felgryn,Flesh-eater Courts,,5,4,6,"DEATH,UNIQUE,HERO,FLESH-EATER COURTS,ABHORRANT,INFANTRY,WARD (6+)",Filthy Talons and Fangs,melee,5,3,3,1,2,,-,120,1,6,2,Default,1,,Be Mine Eyes [Activated · Your Hero Phase] | Winged Reconnoitrer [Passive],Flesh-eater Courts - Library.cat#9246-4272-bb2c-513d
Marrowscroll Herald,Flesh-eater Courts,Infantry Hero,5,5,6,"DEATH,HERO,FLESH-EATER COURTS,WARD (6+),INFANTRY,NOBLE",Bone Scythe,melee,5,4,3,1,2,,-,100,1,6,2,Default,1,,"Infected [Activated · Reaction: Opponent declared a command, Spell ability or Prayer ability for an Infected unit] | The King's Entreaty [Activated · Once Per Turn (Army), Enemy Charge Phase]",Flesh-eater Courts - Library.cat#c9ce-303a-ccbb-65de
Morbheg Knights,Flesh-eater Courts,Cavalry,4,4,6,"WARD (6+),DEATH,CHAMPION,FLY,CAVALRY,STANDARD BEARER (1/3),MUSICIAN (1/3),FLESH-EATER COURTS,KNIGHTS",Nightshrieker’s Claws and Teeth,melee,3,4,3,1,2,,Companion,170,3,12,1,Default,3,,"Predator Knights [Activated · Once Per Turn (Army), End of Enemy Turn]",Flesh-eater Courts - Library.cat#3b30-80e8-cca6-e129
Morbheg Knights,Flesh-eater Courts,Cavalry,4,4,6,"WARD (6+),DEATH,CHAMPION,FLY,CAVALRY,STANDARD BEARER (1/3),MUSICIAN (1/3),FLESH-EATER COURTS,KNIGHTS",Grisly Lance,melee,2,3,4,1,1,,Charge (+1 Damage),170,3,12,1,Default,3,,"Predator Knights [Activated · Once Per Turn (Army), End of Enemy Turn]",Flesh-eater Courts - Library.cat#3b30-80e8-cca6-e129
"Nagash, Supreme Lord of the Undead",Flesh-eater Courts,Monster Hero,18,3,5,"DEATH,UNIQUE,HERO,MONSTER,WIZARD (9),WARD (5+),FLY,WARMASTER,FLESH-EATER COURTS","Alakanash, the Staff of Power",melee,4,3,3,2,D6,,-,750,1,10,10,Default,1,,"Battle Damaged [Passive] | The Staff of Power [Passive] | Hand of Dust [Activated · Once Per Turn (Army), End of Any Turn · Rampage] | Supreme Lord of the Undead [Activated · Once Per Battle, Your Hero Phase] | Invocation of Nagash [Spell · Your Hero Phase · casting value 7 · Spell] | Utter Contempt [Passive]",Flesh-eater Courts - Library.cat#4898-ff01-e50e-4325
"Nagash, Supreme Lord of the Undead",Flesh-eater Courts,Monster Hero,18,3,5,"DEATH,UNIQUE,HERO,MONSTER,WIZARD (9),WARD (5+),FLY,WARMASTER,FLESH-EATER COURTS","Zefet-nebtar, the Mortis Blade",melee,4,3,3,2,3,,-,750,1,10,10,Default,1,,"Battle Damaged [Passive] | The Staff of Power [Passive] | Hand of Dust [Activated · Once Per Turn (Army), End of Any Turn · Rampage] | Supreme Lord of the Undead [Activated · Once Per Battle, Your Hero Phase] | Invocation of Nagash [Spell · Your Hero Phase · casting value 7 · Spell] | Utter Contempt [Passive]",Flesh-eater Courts - Library.cat#4898-ff01-e50e-4325
Royal Beastflayers,Flesh-eater Courts,,1,6,6,"WARD (6+),DEATH,FLESH-EATER COURTS,INFANTRY,SERFS,CHAMPION (1/10)",Beastflayer Weapons,melee,3,4,4,0,1,,"Anti-**^^Beast^^** (+1 Rend), Anti-**^^Monster^^** (+1 Rend)",110,10,6,1,Default,10,,Hunter's Instincts [Passive],Flesh-eater Courts - Library.cat#a8f1-a33f-35de-8e08
Royal Decapitator,Flesh-eater Courts,Infantry Hero,5,5,6,"DEATH,HERO,FLESH-EATER COURTS,WARD (6+),INFANTRY,NOBLE",Headsman’s Axe,melee,3,4,3,2,3,,-,100,1,6,2,Default,1,,Executioner's Entourage [Activated · Reaction: You declared a Fight ability for this unit] | Off With Their Head! [Activated · Reaction: You declared a Fight ability for this unit],Flesh-eater Courts - Library.cat#7f54-ad67-e5ae-972d
Royal Terrorgheist,Flesh-eater Courts,Monster,14,4,6,"DEATH,MONSTER,FLESH-EATER COURTS,FLY,WARD (6+)",Death Shriek,ranged,1,4,2,2,3,10,"Shoot in Combat, Companion",240,1,12,5,Default,1,,"Shriek of Terror [Activated · Once Per Turn (Army), Any Combat Phase · Rampage] | Necromantic Limits [Passive] | Wicked Predator [Activated · Once Per Turn (Army), Any Combat Phase]",Flesh-eater Courts - Library.cat#e563-1cc8-a03a-d776
Royal Terrorgheist,Flesh-eater Courts,Monster,14,4,6,"DEATH,MONSTER,FLESH-EATER COURTS,FLY,WARD (6+)",Terrorgheist’s Fanged Maw,melee,3,4,2,2,5,,"Crit (Mortal), Companion",240,1,12,5,Default,1,,"Shriek of Terror [Activated · Once Per Turn (Army), Any Combat Phase · Rampage] | Necromantic Limits [Passive] | Wicked Predator [Activated · Once Per Turn (Army), Any Combat Phase]",Flesh-eater Courts - Library.cat#e563-1cc8-a03a-d776
Royal Terrorgheist,Flesh-eater Courts,Monster,14,4,6,"DEATH,MONSTER,FLESH-EATER COURTS,FLY,WARD (6+)",Terrorgheist’s Skeletal Talons,melee,6,4,2,1,2,,"Crit (Mortal), Companion",240,1,12,5,Default,1,,"Shriek of Terror [Activated · Once Per Turn (Army), Any Combat Phase · Rampage] | Necromantic Limits [Passive] | Wicked Predator [Activated · Once Per Turn (Army), Any Combat Phase]",Flesh-eater Courts - Library.cat#e563-1cc8-a03a-d776
