id,unit_name,army,category,troop_type,points,points_per_model,min_models,M,WS,BS,S,T,W,I,A,Ld,armour,shield,ward,regeneration,weapon,weapon_S,weapon_AP,weapon_rules,armour_bane,cleaving_blow,poisoned,requires_two_hands,fight_in_extra_rank,extra_attacks,horde,stubborn,unbreakable,unstable,indomitable,hatred,frenzy,named,mounts,special_rules
chaos-furies,Chaos Furies of Tzeentch,Daemons of Chaos,core,Regular Infantry,70,14,5,4,3,0,4,3,1,4,1,5,,,5,,Daemonic Talons,S,-1,,,,,,,,,,yes,,,,,,,"Daemonic, Fly (8), Furious Charge, Skirmishers, Swiftstride, Vanguard, Daemons of Tzeentch"
fiends-of-slaanesh,Fiends of Slaanesh,Daemons of Chaos,special,Monstrous Cavalry,198,66,3,8,4,0,4,4,3,6,3,7,,,5,,Piercing Claws,S,-1,"Armour Bane (2), Extra Attacks (+1), Requires Two Hands",2,,,yes,,1,,,yes,,,,,,,"Close Order, Daemonic, Daemons of Slaanesh, Soporific Musk, Swiftstride"
seeker-chariot-of-slaanesh,Seeker Chariot of Slaanesh,Daemons of Chaos,special,Light Chariot,100,100,1,,4,3,3,4,4,5,1,7,,,5,,Piercing Claws,S,-1,"Armour Bane (2), Extra Attacks (+1), Requires Two Hands",2,,yes,yes,,1,,,yes,,,,,,WS3 S3 I5 A1,"Armour Bane (1 - Steed of Slaanesh only), Counter Charge, Daemonic, Daemon of Slaanesh, First Charge, Impact Hits (D3+1), Open Order, Poisoned Attacks (Steed of Slaanesh only), Swiftstride"
hellflayer-of-slaanesh,Hellflayer of Slaanesh,Daemons of Chaos,special,Light Chariot,145,145,1,,5,3,3,4,4,5,2,7,,,5,,Piercing Claws,S,-1,"Armour Bane (2), Extra Attacks (+1), Requires Two Hands",2,,yes,yes,,1,,,yes,,,,,,WS4 S3 I5 A1 | WS3 S3 I5 A1,"Armour Bane (1 - Steed of Slaanesh only), Close Order, Counter Charge, Daemonic, Daemon of Slaanesh, First Charge, Impact Hits (2D6+1), Poisoned Attacks (Steed of Slaanesh only), Swiftstride"
beasts-of-nurgle,Beasts of Nurgle,Daemons of Chaos,special,Monstrous Infantry,124,62,2,5,3,0,4,5,4,2,,7,,,5,5,Writhing Tentacles (Daemons of Chaos),S,-1,Armour Bane (1),1,,yes,,,,,,yes,,,,,,,"Attention Seeker, Close Order, Daemonic {renegade}, Daemons of Nurgle, Impetuous, Infernal Favour (1), Loner, Poisoned Attacks, Random Attacks, Regeneration (5+), Slime Trail"
plague-drones-of-nurgle,Plague Drones of Nurgle,Daemons of Chaos,special,Monstrous Cavalry,189,63,3,,3,3,4,5,3,2,1,7,,,5,6,Plaguesword,S,0,Armour Bane (1),1,,yes,,,,,,yes,,,,,,WS3 S5 I2 A3,"Armour Bane (2 - Rot Fly only), Daemonic {renegade}, Daemons of Nurgle, Fly (9), Poisoned Attacks, Regeneration (6+), Skirmishers, Swiftstride"
bloodcrushers-of-khorne,Bloodcrushers of Khorne,Daemons of Chaos,special,Monstrous Cavalry,195,65,3,,5,3,4,4,3,4,1,7,6,,5,,Hellblade,S,-1,Cleaving Blow,,yes,,,,,,,yes,,,,,,WS4 S5 I2 A2,"Armoured Hide (1), Close Order, Daemonic, Daemon of Khorne, Impact Hits (2), Impetuous, Magic Resistance (-1), Swiftstride"
soul-grinder,Soul Grinder of Khorne,Daemons of Chaos,special,Behemoth,250,240,1,8,3,3,6,6,6,3,4,7,4,,5,,Iron Claw,S,-3,Killing Blow,,,,,,,,,yes,,,,,,,"Close Order, Daemonic {renegade}, Furious Charge, Large Target, Reserve Move, Stomp Attacks (D6+1), Terror"
screamers-of-tzeentch,Screamers of Tzeentch,Daemons of Chaos,special,War Beast,132,44,3,1,3,0,4,4,2,4,2,7,,,5,,Lamprey's Bite,S,-1,Multiple Wounds (D3),,,,,,,,,yes,,,,,,,"Daemonic, Daemons of Tzeentch, Fly (9), Loner, Skirmishers, Slashing Attack"
flamers-of-tzeentch,Flamers of Tzeentch,Daemons of Chaos,special,Regular Infantry,120,40,3,6,2,4,4,4,2,4,2,7,,,5,,Hand Weapon,S,0,,,,,,,,,,yes,,,,,,,"Daemonic {renegade}, Daemons of Tzeentch, Flaming Attacks, Infernal Favour (1 - Exalted Flamer only), Lore of Daemons {renegade}, Move Through Cover, Skirmishers"
burning-chariot-of-tzeentch,Burning Chariot of Tzeentch,Daemons of Chaos,special,Heavy Chariot,140,140,1,,2,5,4,4,4,4,2,7,,,5,,Lamprey's Bite,S,-1,Multiple Wounds (D3),,,,,,,,,yes,,,,,,WS2 S3 I3 A1 | WS3 S4 I4 A2,"Close Order, Daemonic {renegade}, Daemon of Tzeentch {renegade}, Fly (9), Impact Hits (D6+1), Lore of Daemons {renegade}, Slashing Attack (Screamers only)"
soul-grinder,Soul Grinder,Daemons of Chaos,rare,Behemoth,255,255,1,8,3,3,6,6,6,3,4,7,5,,5,,Iron Claw,S,-3,Killing Blow,,,,,,,,,yes,,,,,,,"Close Order, Daemonic, Furious Charge, Large Target, Reserve Move, Stomp Attacks (D6+1), Terror"
skull-cannon-of-khorne,Skull Cannon of Khorne,Daemons of Chaos,rare,Heavy Chariot,185,185,1,7,5,,5,5,4,2,3,,,,5,,Hand Weapon,S,0,,,,,,,,,,yes,,,,,,WS5 S4 I4 A1,"Brazen Wheels, Close Order, Daemonic, Daemon of Khorne, First Charge, Impact Hits (D3+1), Impetuous, Stomp Attacks (D3)"
dark-elf-dreadlord,Dark Elf Dreadlord,Dark Elves,characters,Regular Infantry,130,130,1,5,7,7,4,3,3,6,4,10,6,,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,,"Eternal Hatred, Hatred (High Elves)*, Murderous {renegade}, Strike First*"
dark-elf-master,Dark Elf Master,Dark Elves,characters,Regular Infantry,70,70,1,5,6,6,4,3,2,5,3,9,6,,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,,"Eternal Hatred, Hatred (High Elves)*, Murderous {renegade}, Strike First*"
supreme-sorceress,Supreme Sorceress,Dark Elves,characters,Regular Infantry,150,150,1,5,4,4,3,3,3,5,2,8,,,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,,"Elven Reflexes, Eternal Hatred, Hatred (High Elves), Hekarti's Blessing, Lore of Naggaroth {renegade}, Murderous {renegade}"
sorceress,Sorceress,Dark Elves,characters,Regular Infantry,75,75,1,5,4,4,3,3,2,4,1,8,,,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,,"Elven Reflexes, Eternal Hatred, Hatred (High Elves), Hekarti's Blessing, Lore of Naggaroth {renegade}, Murderous {renegade}"
high-beastmaster,High Beastmaster,Dark Elves,characters,Regular Infantry,75,75,1,,7,7,4,3,3,5,3,9,6,,,,Whip,S,0,"Fight In Extra Rank, Strike First",,,,,,,,,,,,yes,,,,"Eternal Hatred, Goad Beast, Hatred (High Elves)*, Murderous {renegade}, Strike First*"
death-hag,Death Hag,Dark Elves,characters,Regular Infantry,70,70,1,5,6,6,4,3,2,7,3,8,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,
khainite-assassin,Khainite Assassin,Dark Elves,characters,Regular Infantry,80,80,1,5,8,7,4,3,2,7,3,8,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,
dark-elf-warriors,Dark Elf Warriors,Dark Elves,core,Regular Infantry,80,8,10,5,4,4,3,3,1,4,1,8,6,yes,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,,"Close Order, Elven Reflexes, Hatred (High Elves), Martial Prowess"
repeater-crossbowmen,Repeater Crossbowmen,Dark Elves,core,Regular Infantry,110,11,10,5,4,4,3,3,1,4,1,8,6,,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,,"Close Order, Elven Reflexes, Hatred (High Elves), Martial Prowess"
black-ark-corsairs,Black Ark Corsairs,Dark Elves,core,Regular Infantry,110,11,10,5,4,4,3,3,1,4,1,8,6,,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,,"Elven Reflexes, Hatred (High Elves), Move Through Cover, Open Order, Sea Dragon Cloak"
dark-riders,Dark Riders,Dark Elves,core,Light Cavalry,80,16,5,,4,4,3,3,1,4,1,8,6,,,,Cavalry Spear,S+1,-1,Fight In Extra Rank,,,,,,,,,,,,yes,,,WS3 S3 I4 A1,"Elven Reflexes, Fast Cavalry, Hatred (High Elves), Open Order, Skirmishers, Swiftstride"
witch-elves,Witch Elves,Dark Elves,core,Regular Infantry,110,11,10,5,4,4,3,3,1,5,1,8,,,,,Hand Weapon,S,0,,,,yes,,,,yes,,,,,yes,yes,,,"Close Order, Elven Reflexes, Frenzy, Hatred (High Elves), Horde, Loner, Murderous {renegade}, Poisoned Attacks"
har-ganeth-executioners,Har Ganeth Executioners,Dark Elves,special,Regular Infantry,150,15,10,5,5,4,4,3,1,5,1,9,5,,,,Har Ganeth Greatsword,S+2,-1,"Cleaving Blow, Requires Two Hands",,yes,,yes,,,,,,,,yes,,,,"Close Order, Elven Reflexes, Hatred (High Elves), Murderous {renegade}, Veteran"
dark-elf-shades,Dark Elf Shades,Dark Elves,special,Regular Infantry,75,15,5,5,5,5,3,3,1,5,1,8,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,
harpies,Harpies,Dark Elves,special,Regular Infantry,55,11,5,5,3,0,3,3,1,5,2,6,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,," Fly (10), Move Through Cover, Scouts, Skirmishers, Swiftstride"
black-guard-of-naggarond,Black Guard of Naggarond,Dark Elves,special,Regular Infantry,150,15,10,5,5,4,3,3,1,5,1,9,4,,,,Dread Halberd,S+1,-1,"Armour Bane (1), Fight in Extra Rank, Requires Two Hands",1,,,yes,yes,,,yes,,,,yes,,,,"Close Order, Elven Reflexes, Eternal Hatred, Hatred (High Elves), Immune to Psychology, Martial Prowess, Stubborn"
cold-one-knights,Cold One Knights,Dark Elves,special,Heavy Cavalry,155,31,5,,5,4,4,4,1,5,1,9,5,yes,,,Lance,S+2,-2,Armour Bane (1),1,,,,,,,,,,,,,,WS3 S4 I2 A2,
scourgerunner-chariot,Scourgerunner Chariots,Dark Elves,special,Light Chariot,85,85,1,,4,4,3,4,4,4,1,8,,,,,Cavalry Spear,S+1,-1,Fight In Extra Rank,,,,,,,,,,,,yes,,,WS3 S3 I4 A1,"Elven Reflexes, Hatred (High Elves), Impact Hits (D6), Open Order, Sea Dragon Cloak, Swiftstride"
cold-one-chariot,Cold One Chariot,Dark Elves,special,Heavy Chariot,125,125,1,,5,4,4,5,4,5,1,9,,,,,Cavalry Spear,S+1,-1,Fight In Extra Rank,,,,,,,,,,,,yes,,,WS3 S4 I2 A2,"Armour Bane (1 - Cold One only), Close Order, Elven Reflexes, Fear,  First Charge, Hatred (High Elves), Impact Hits (D6+1), Stupidity"
war-hydra,War Hydra,Dark Elves,special,Behemoth,200,200,1,6,4,0,5,5,5,3,2,6,,,,5,Wicked Claws,S,-2,,,,,,,,,,,,,,,,WS4 S3 I4 A1,"Close Order, Extra Attacks (+remaining Wounds), Immune to Psychology, Large Target, Monster Handlers, Regeneration (5+), Stomp Attacks (D3), Terror"
kharibdyss,Kharibdyss,Dark Elves,special,Behemoth,195,195,1,6,5,0,7,5,5,3,5,6,,,,,Cavernous Maw,S,-2,"Armour Bane (1), Killing Blow",1,,,,,,,,,,,,,,WS4 S3 I4 A1,"Abyssal Howl, Close Order, Immune to Psychology, Large Target, Monster Handlers, Stomp Attacks (D3+1), Terror"
sisters-of-slaughter,Sisters of Slaughter,Dark Elves,rare,Regular Infantry,170,17,10,5,5,4,3,3,1,6,2,9,,,,,Lash & Buckler,S,-1,"Armour Bane (1), Fight in Extra Rank, Requires Two Hands",1,,,yes,yes,,,,,,,yes,,,,"Dance of Death, Elven Reflexes, Hatred (High Elves), Impetuous, Loner, Murderous {renegade}, Open Order"
bloodwrack-shrine,Bloodwrack Shrines,Dark Elves,rare,Heavy Chariot,175,175,1,2,4,4,3,5,5,5,1,8,,,,,Cavalry Spear,S+1,-1,Fight In Extra Rank,,,yes,,,,,,,,,yes,yes,,WS5 S4 I5 A3,"Close Order, Dragged Along, Elven Reflexes, Frenzy, Hatred (High Elves), Impact Hits (D6+1), Large Target, Magic Resistance (-1), Murderous {renegade}, Poisoned Attacks, Stony Stare, Terror"
bloodwrack-medusa,Bloodwrack Medusas,Dark Elves,rare,Monstrous Creature,85,85,1,7,5,5,4,4,4,5,3,7,6,,,,Hand Weapon,S,0,,,,yes,,,,,,,,,yes,yes,,,"Close Order, Elven Reflexes, Fear, Frenzy, Hatred (High Elves), Magic Resistance (-1), Murderous {renegade}, Poisoned Attacks, Stony Stare"
doomfire-warlocks,Doomfire Warlocks,Dark Elves,rare,Light Cavalry,110,22,5,,4,4,4,3,1,5,1,8,,,,,Hand Weapon,S,0,,,,yes,,,,,,,,,yes,,,WS3 S3 I4 A1,"Cursed Coven {renegade}, Dark Runes {renegade}, Elven Reflexes, Fast Cavalry, Hatred (High Elves), Open Order, Poisoned Attacks (Doomfire Warlocks and Master only), Swiftstride"
reaper-bolt-thrower,Reaper Bolt Thrower,Dark Elves,rare,War Machine,80,80,1,,4,4,3,6,2,4,2,8,6,,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,,"Elven Reflexes, Hatred (High Elves), Skirmishers"
merwyrm,Merwyrm,Dark Elves,rare,Behemoth,200,200,1,6,6,0,6,6,6,3,4,8,5,,,,Lashing Talons,S,-1,Armour Bane (1),1,,,,,,,,,,,,,,,"Abyssal Cloak, Close Order, Enfeebling Cold, Impact Hits (D3), Large Target, Stomp Attacks (D3+1), Terror"
king,King,Dwarfen Mountain Holds,characters,Heavy Infantry,125,125,1,3,7,4,4,5,3,4,4,10,4,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,yes,,,,"Ancestral Grudge, Dwarf Crafted, Gromril Armour, Gromril Weapons, Hatred (Orcs & Goblins), Magic Resistance (-1), Rallying Cry, Resolute, Stubborn"
thane,Thane,Dwarfen Mountain Holds,characters,Heavy Infantry,60,60,1,3,6,4,4,5,2,3,3,9,4,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,yes,,,,"Ancestral Grudge, Dwarf Crafted, Gromril Armour, Gromril Weapons, Hatred (Orcs & Goblins), Magic Resistance (-1), Rallying Cry, Resolute, Stubborn"
anvil-of-doom,Anvil of Doom,Dwarfen Mountain Holds,characters,War Machine,235,235,1,,6,4,4,7,5,3,5,9,5,yes,,,Hand Weapon,S,0,,,,,,,,,,yes,,,yes,,,,"Ancestral Shield, Gromril Armour, Gromril Weapons, Hatred (Orcs & Goblins), Immune to Psychology, Magic Resistance (-3), Resolute, Rune Lore, Skirmishers, Strike the Runes, Unbreakable"
runelord,Runelord,Dwarfen Mountain Holds,characters,Heavy Infantry,120,120,1,3,6,4,4,5,3,3,3,9,5,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,yes,,,,"Armour Bane (1), Forgefire, Gromril Armour, Gromril Weapons, Hatred (Orcs & Goblins), Magic Resistance (-2), Resolute, Rune Lore, Stubborn"
runesmith,Runesmith,Dwarfen Mountain Holds,characters,Heavy Infantry,65,65,1,3,5,4,4,4,2,2,2,9,5,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,yes,,,,"Armour Bane (1), Forgefire, Gromril Armour, Gromril Weapons, Hatred (Orcs & Goblins), Magic Resistance (-2), Resolute, Rune Lore, Stubborn"
daemon-slayer,Daemon Slayer,Dwarfen Mountain Holds,characters,Heavy Infantry,130,130,1,3,7,3,4,5,3,5,4,10,,,,,Hand Weapon,S,0,,,,,,,,,,yes,,,yes,,,,"Deathblow, Gromril Weapons, Hatred (Orcs & Goblins), Immune to Psychology, Killing Blow, Loner, Magic Resistance (-2), Resolute, Slayer of Daemons, Unbreakable, Vanguard"
dragon-slayer,Dragon Slayer,Dwarfen Mountain Holds,characters,Heavy Infantry,70,70,1,3,6,3,4,5,2,4,3,10,,,,,Hand Weapon,S,0,,,,,,,,,,yes,,,yes,,,,"Deathblow, Gromril Weapons, Hatred (Orcs & Goblins), Immune to Psychology, Killing Blow, Loner, Magic Resistance (-2), Resolute, Slayer of Dragons, Unbreakable, Vanguard"
engineer,Engineer,Dwarfen Mountain Holds,characters,Heavy Infantry,50,50,1,3,4,5,4,4,2,2,2,9,5,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,yes,,,,"Artillery Master, Dwarf Crafted, Entrenchment, Gromril Armour, Hatred (Orcs & Goblins), Magic Resistance (-1), Resolute, ""Stand Back Chief"", Stubborn"
engineer-sapper,Engineer Sapper,Dwarfen Mountain Holds,characters,Heavy Infantry,70,70,1,3,4,5,4,4,2,2,2,9,5,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,yes,,,,"""Dig In!"", Dwarf Crafted, Gromril Armour, Hatred (Orcs & Goblins), Hostile Terrain, Magic Resistance (-1), Resolute, Stubborn"
thorgrim-ulleksson,Thorgrim Ulleksson,Dwarfen Mountain Holds,characters,Heavy Infantry,250,250,1,3,6,4,4,5,3,3,3,10,,yes,,,Hand Weapon,S,0,,,,,,,,,yes,,,,yes,,yes,,"Gromril Armour, Grudgelore, Hatred (Orcs & Goblins), Magic Resistance (-1), Rallying Cry, Resolute, Stubborn"
ungrim-ironfist,Ungrim Ironfist,Dwarfen Mountain Holds,characters,Heavy Infantry,315,315,1,3,9,4,4,6,3,5,4,10,6,,,,Hand Weapon,S,0,,,,,,,,,,yes,,,yes,,yes,,"Deathblow, Gromril Armour, Hatred (Orcs & Goblins), Immune to Psychology, King of the Slayer Hold, Magic Resistance (-2), Rallying Cry, Resolute, Slayer, Unbreakable"
burlok-damminson,Burlok Damminson,Dwarfen Mountain Holds,characters,Heavy Infantry,85,85,1,3,5,5,4,4,2,2,3,10,5,,,,Furnace Hammer,S,-2,Flaming Attacks,,,,,,,,yes,,,,yes,,yes,,"Dwarf Crafted, Gromril Armour, Hatred (Orcs & Goblins), Magic Resistance (-1), Prepared Positions, Range Finding Optics, Resolute, ""Stand Back Chief"", Stubborn"
dwarf-warriors,Dwarf Warriors,Dwarfen Mountain Holds,core,Heavy Infantry,40,8,5,3,4,3,3,4,1,2,1,9,5,,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,,"Close Order, Hatred (Orcs & Goblins), Magic Resistance (-1), Resolute, Shieldwall"
royal-clan-warriors,Royal Clan Warriors,Dwarfen Mountain Holds,core,Heavy Infantry,50,10,5,3,4,3,3,4,1,2,1,9,5,yes,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,,"Close Order, Gromril Armour, Gromril Weapons, Hatred (Orcs & Goblins), Magic Resistance (-1), Resolute, Shieldwall"
longbeards,Longbeards,Dwarfen Mountain Holds,core,Heavy Infantry,60,12,5,3,5,3,4,4,1,2,1,9,5,,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,,"Close Order, Gromril Weapons, Hatred (Orcs & Goblins), Magic Resistance (-1), Resolute, Shieldwall, Venerable, Veteran"
quarrellers,Quarrellers,Dwarfen Mountain Holds,core,Heavy Infantry,45,9,5,3,3,3,3,4,1,2,1,9,5,,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,,"Close Order, Dwarf Crafted, Hatred (Orcs & Goblins), Magic Resistance (-1), Resolute"
thunderers,Thunderers,Dwarfen Mountain Holds,core,Heavy Infantry,50,10,5,3,3,3,3,4,1,2,1,9,5,,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,,"Close Order, Dwarf Crafted, Hatred (Orcs & Goblins), Magic Resistance (-1), Resolute"
rangers,Rangers,Dwarfen Mountain Holds,core,Heavy Infantry,55,11,5,3,4,4,3,4,1,2,1,9,5,,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,,"Dwarf Crafted, Hatred (Orcs & Goblins), Magic Resistance (-1), Move Through Cover, Open Order, Resolute, Scouts, Skirmishers"
scout-gyrocopter,Scout Gyrocopters,Dwarfen Mountain Holds,core,Monstrous Cavalry,60,60,1,1,4,4,4,4,3,2,2,9,5,,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,,"Dispersed Formation, Fire & Flee, Fly (10), Hatred (Orcs & Goblins), Hit & Run, Impact Hits (D3), Magic Resistance (-1), Skirmishers, Swiftstride, Vanguard"
dwarf-cart,Dwarf Cart,Dwarfen Mountain Holds,core,Light Chariot,65,65,1,,4,4,3,5,3,2,1,8,,,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,WS3 S3 I3 A1,"Hatred (Orcs & Goblins), Impact Hits (D3), Magic Resistance (-1), Open Order, Resolute"
dwarf-cart,Dwarf Cart,Dwarfen Mountain Holds,core,Light Chariot,65,65,1,,4,4,3,5,3,2,1,8,,,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,WS3 S3 I3 A1,"Hatred (Orcs & Goblins), Impact Hits (D3), Magic Resistance (-1), Open Order, Resolute"
hammerers,Hammerers,Dwarfen Mountain Holds,special,Heavy Infantry,80,16,5,3,5,3,4,4,1,3,1,9,5,,,,Great Hammer,S+2,-2,"Armour Bane (2), Magical Attacks, Requires Two Hands",2,,,yes,,,,yes,,,,yes,,,,"Close Order, Gromril Weapons, Hatred (Orcs & Goblins), Magic Resistance (-1), Resolute, Royal Guard, Shieldwall, Stoic Defenders, Stubborn, Gromril Armour"
ironbreakers,Ironbreakers,Dwarfen Mountain Holds,special,Heavy Infantry,75,15,5,3,5,3,4,4,1,2,1,9,4,yes,,,Hand Weapon,S,0,,,,,,,,,yes,,,,yes,,,,"Close Order, Gromril Armour, Gromril Weapons, Hatred (Orcs & Goblins), Magic Resistance (-1), Regimental Unit, Resolute, Runes of Protection, Shieldwall, Stubborn"
miners,Miners,Dwarfen Mountain Holds,special,Heavy Infantry,60,12,5,3,4,3,3,4,1,2,1,9,5,,,,Great Weapon,S+2,-2,"Armour Bane (1), Requires Two Hands, Strike Last",1,,,yes,,,,,,,,yes,,,,"Ambushers, Close Order, Hatred (Orcs & Goblins), Magic Resistance (-1), Resolute, Vanguard"
slayers,Slayers,Dwarfen Mountain Holds,special,Regular Infantry,60,12,5,3,4,3,3,4,1,2,1,10,,,,,Hand Weapon,S,0,,,,,,,,,,yes,,,yes,,,,"Deathblow, ""Fight Me!"" (Giant Slayer), Hatred (Orcs & Goblins), Immune to Psychology, Loner, Magic Resistance (-2), Motley Crew, Open Order, Resolute, Slayer, Unbreakable, Furious Charge"
brotherhood-of-grimnir,Brotherhood of Grimnir,Dwarfen Mountain Holds,special,Regular Infantry,90,18,5,3,5,3,4,4,1,3,2,10,,,,,Hand Weapon,S,0,,,,,,,,,,yes,,,yes,,,,"Blessings of Grimnir (Shrine Keeper only), Close Order, Deathblow, Gromril Weapons, Hatred (Orcs & Goblins), Immune to Psychology, Loner, Magic Resistance (-2), Motley Crew, Resolute, Slayer, Unbreakable"
doomseeker,Doomseeker,Dwarfen Mountain Holds,special,Heavy Infantry,50,50,1,3,5,0,5,4,2,3,,10,,,,,Hand Weapon,S,0,,,,,,,,,,yes,,,yes,,,,"Deathblow, Doomseeker {dwarfs}, First to the Fray, Gromril Weapons, Hatred (Orcs & Goblins), Immune to Psychology, Impact Hits (D3+1), Loner, Magic Resistance (-2), Random Attacks, Resolute, Unbreakable, Vanguard, Whirlwind of Death, Skirmishers"
gyrocopter,Gyrocopters,Dwarfen Mountain Holds,special,Monstrous Cavalry,60,60,1,1,4,3,4,5,3,2,2,9,4,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Dive Bomb, Fire & Flee, Fly (9), Impact Hits (D3), Magic Resistance (-1), Skirmishers, Swiftstride, Vanguard, Dispersed Formation"
bolt-thrower,Bolt Thrower,Dwarfen Mountain Holds,special,War Machine,55,55,1,,3,3,3,6,3,2,3,9,6,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,yes,,,,"Hatred (Orcs & Goblins), Magic Resistance (-1), Skirmishers, Stubborn"
grudge-thrower,Grudge Thrower,Dwarfen Mountain Holds,special,War Machine,95,95,1,,3,3,3,7,3,2,3,9,6,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,yes,,,,"Hatred (Orcs & Goblins), Magic Resistance (-1), Skirmishers, Stubborn"
cannon,Cannon,Dwarfen Mountain Holds,special,War Machine,95,95,1,,3,3,3,7,3,2,3,9,6,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,yes,,,,"Hatred (Orcs & Goblins), Magic Resistance (-1), Skirmishers, Stubborn"
irondrakes,Irondrakes,Dwarfen Mountain Holds,rare,Heavy Infantry,75,15,5,3,4,4,4,4,1,2,1,9,4,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,yes,,,,"Close Order, Detachment, Gromril Armour, Hatred (Orcs & Goblins), Magic Resistance (-1), Resolute, Runes of Warding, Stubborn"
gyrobomber,Gyrobomber,Dwarfen Mountain Holds,rare,Monstrous Creature,95,95,1,1,4,3,4,5,4,2,2,9,4,,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,,"Bombing Run, Close Order, Fly (8), Impact Hits (D3+1), Swiftstride, Magic Resistance (-1), Hatred (Orcs & Goblins)"
organ-gun,Organ Gun,Dwarfen Mountain Holds,rare,War Machine,115,115,1,,3,3,3,7,3,2,3,9,6,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,yes,,,,"Hatred (Orcs & Goblins), Magic Resistance (-1), Skirmishers, Stubborn"
flame-cannon,Flame Cannon,Dwarfen Mountain Holds,rare,War Machine,120,120,1,,3,3,3,6,3,2,3,9,6,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,yes,,,,"Hatred (Orcs & Goblins), Magic Resistance (-1), Skirmishers, Stubborn"
goblin-hewer,Goblin-Hewer,Dwarfen Mountain Holds,rare,War Machine,120,120,1,,4,3,3,6,3,2,2,10,,,,,Hand Weapon,S,0,,,,,,,,,,yes,,,yes,,,,"Hatred (Orcs & Goblins), Immune to Psychology, Magic Resistance (-1), Skirmishers, Unbreakable"
imperial-dwarf-mercenaries,Imperial Dwarf Mercenaries,Dwarfen Mountain Holds,mercenaries,Heavy Infantry,40,8,5,3,4,3,3,4,1,2,1,9,6,,,,Hand Weapon,S,0,,,,,,,,,,,,,yes,,,,"Close Order, Hatred (Orcs & Goblins), Magic Resistance (-1), Resolute, Shieldwall"
prince-ulthers-dragon-company,Prince Ulther's Dragon Company,Dwarfen Mountain Holds,mercenaries,Heavy Infantry,115,115,1,3,5,5,4,5,2,2,3,10,6,yes,,,Hand Weapon,S,0,,,,,,,,,yes,,,,yes,,yes,,"Close Order, Drilled, Gromril Weapons, Hatred (Orcs & Goblins), Magic Resistance (-1), Resolute, Stubborn"
general-of-the-empire,General of the Empire,Empire of Man,characters,Regular Infantry,90,90,1,4,5,5,4,4,3,5,3,10,6,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"""Hold the Line!"", Rallying Cry"
captain-of-the-empire,Captain of the Empire,Empire of Man,characters,Regular Infantry,45,45,1,4,5,5,4,4,2,4,2,9,6,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"""Hold the Line!"", Rallying Cry"
wizard-lord,Wizard Lord,Empire of Man,characters,Regular Infantry,130,130,1,4,4,3,3,4,3,3,2,8,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Magical Attacks, Magic Resistance (-1)"
master-mage,Master Mage,Empire of Man,characters,Regular Infantry,60,60,1,4,3,3,3,3,2,3,1,7,,,,,Hand Weapon,S,0,,,,,,,,,,,,,,,,,"Magical Attacks, Magic Resistance (-1)"
grand-master,Grand Master,Empire of Man,characters,Heavy Cavalry,210,145,1,,6,3,4,4,3,6,4,9,5,,,,Hand Weapon,S,0,,,,,,,,,yes,,,,,,,,"Counter Charge, First Charge, Immune to Psychology, Master of Battle, Rallying Cry, Stubborn, Swiftstride, Veteran"
