unit_name,faction,shared_with,id,points,models,T,W,Sv,InSv,FNP,OC,move,keywords,model_groups,weapon_name,weapon_type,attacks,skill,S,AP,damage,weapon_models,abilities,notes
Nurglings,Chaos - Death Guard,,7e32-0162-71e2-57a0,45,3,3,4,7,5,,0,5.0,"CHAOS, DAEMON, SWARM",,Diseased claws and teeth,Melee,4,5,2,0,1,3,Lethal Hits,
Plague Drones,Chaos - Death Guard,,cd03-e1f3-fa31-a271,110,3,8,5,6,5,,2,10.0,"CHAOS, DAEMON, FLY, MOUNTED",,Death's heads,Ranged,D3,4,4,0,1,2,"Lethal Hits, Blast",
Plague Drones,Chaos - Death Guard,,cd03-e1f3-fa31-a271,110,3,8,5,6,5,,2,10.0,"CHAOS, DAEMON, FLY, MOUNTED",,Foul mouthparts,Melee,2,4,5,-1,2,2,Lethal Hits,
Plague Drones,Chaos - Death Guard,,cd03-e1f3-fa31-a271,110,3,8,5,6,5,,2,10.0,"CHAOS, DAEMON, FLY, MOUNTED",,Plaguesword,Melee,2,3,4,-1,1,2,Lethal Hits,
Plague Drones,Chaos - Death Guard,,cd03-e1f3-fa31-a271,110,3,8,5,6,5,,2,10.0,"CHAOS, DAEMON, FLY, MOUNTED",,Death's heads,Ranged,D3,4,4,0,1,1,"Lethal Hits, Blast",
Plague Drones,Chaos - Death Guard,,cd03-e1f3-fa31-a271,110,3,8,5,6,5,,2,10.0,"CHAOS, DAEMON, FLY, MOUNTED",,Foul mouthparts,Melee,2,4,5,-1,2,1,Lethal Hits,
Plague Drones,Chaos - Death Guard,,cd03-e1f3-fa31-a271,110,3,8,5,6,5,,2,10.0,"CHAOS, DAEMON, FLY, MOUNTED",,Plaguesword,Melee,2,3,4,-1,1,1,Lethal Hits,
Plague Marines,Chaos - Death Guard,,8467-b3a2-2597-de0d,90,5,6,2,3,,,2,5.0,"BATTLELINE, CHAOS, INFANTRY",,Plague knives,Melee,3,3,4,0,1,4,Lethal Hits,
Plague Marines,Chaos - Death Guard,,8467-b3a2-2597-de0d,90,5,6,2,3,,,2,5.0,"BATTLELINE, CHAOS, INFANTRY",,Boltgun,Ranged,2,3,4,0,1,4,Lethal Hits,
Plague Surgeon,Chaos - Death Guard,,9a82-ea13-3511-6c08,50,1,6,4,3,,,1,5.0,"CHAOS, CHARACTER, INFANTRY",,Balesword,Melee,4,3,5,-2,2,1,Lethal Hits,
Plague Surgeon,Chaos - Death Guard,,9a82-ea13-3511-6c08,50,1,6,4,3,,,1,5.0,"CHAOS, CHARACTER, INFANTRY",,Bolt pistol,Ranged,1,3,4,0,1,1,Lethal Hits,
Plaguebearers,Chaos - Death Guard,,904b-0319-7b2e-2145,115,10,5,2,7,5,,2,5.0,"BATTLELINE, CHAOS, DAEMON, INFANTRY",,Plaguesword,Melee,2,3,4,-1,1,1,Lethal Hits,
Plaguebearers,Chaos - Death Guard,,904b-0319-7b2e-2145,115,10,5,2,7,5,,2,5.0,"BATTLELINE, CHAOS, DAEMON, INFANTRY",,Plaguesword,Melee,2,3,4,-1,1,9,Lethal Hits,
Plagueburst Crawler,Chaos - Death Guard,,e58b-507a-937f-7abf,170,1,10,12,2,5,,3,10.0,"CHAOS, DAEMON, VEHICLE",,Plagueburst mortar,Ranged,D6+3,3,8,-1,2,1,"Lethal Hits, Blast",
Plagueburst Crawler,Chaos - Death Guard,,e58b-507a-937f-7abf,170,1,10,12,2,5,,3,10.0,"CHAOS, DAEMON, VEHICLE",,Armoured tracks,Melee,3,4,6,0,1,1,,
Plagueburst Crawler,Chaos - Death Guard,,e58b-507a-937f-7abf,170,1,10,12,2,5,,3,10.0,"CHAOS, DAEMON, VEHICLE",,Heavy slugger,Ranged,4,3,5,-1,1,1,Lethal Hits,
Plagueburst Crawler,Chaos - Death Guard,,e58b-507a-937f-7abf,170,1,10,12,2,5,,3,10.0,"CHAOS, DAEMON, VEHICLE",,Entropy cannon,Ranged,1,3,10,-3,D6+1,2,Lethal Hits,
Poxwalkers,Chaos - Death Guard,,7c30-1e92-2faa-eb03,65,10,4,1,7,,,1,5.0,"CHAOS, INFANTRY",,Improvised weapons,Melee,2,5,3,0,1,10,Lethal Hits,
Rotigus,Chaos - Death Guard,,66dd-f8c9-f9a6-0e6b,280,1,12,22,5,4,,5,7.0,"CHAOS, CHARACTER, DAEMON, EPIC HERO, MONSTER, PSYKER",,Streams of brackish filth,Ranged,2D6,2,8,-2,1,1,"Devastating Wounds, Torrent, Ignores Cover",
Rotigus,Chaos - Death Guard,,66dd-f8c9-f9a6-0e6b,280,1,12,22,5,4,,5,7.0,"CHAOS, CHARACTER, DAEMON, EPIC HERO, MONSTER, PSYKER",,➤ Gnarlrod - strike,Melee,7,2,10,-3,3,1,Lethal Hits,
Tallyman,Chaos - Death Guard,,506c-16a8-68f7-c08a,60,1,6,4,3,,,1,5.0,"CHAOS, CHARACTER, INFANTRY",,Close combat weapon,Melee,4,3,4,0,1,1,,
Tallyman,Chaos - Death Guard,,506c-16a8-68f7-c08a,60,1,6,4,3,,,1,5.0,"CHAOS, CHARACTER, INFANTRY",,➤ Plasma pistol - standard,Ranged,1,3,7,-2,1,1,,
Typhus,Chaos - Death Guard,,e6a4-7055-fd23-5123,100,1,7,6,2,4,,1,5.0,"CHAOS, CHARACTER, EPIC HERO, INFANTRY, PSYKER",,➤ Lakrimae - strike,Melee,6,2,9,-2,3,1,Lethal Hits,
Chaos Land Raider,Chaos - Emperor's Children,,f10c-5f3e-c09d-0b12,220,1,12,16,2,,,5,10.0,"CHAOS, TRANSPORT, VEHICLE",,Armoured tracks,Melee,6,4,8,0,1,1,,
Chaos Land Raider,Chaos - Emperor's Children,,f10c-5f3e-c09d-0b12,220,1,12,16,2,,,5,10.0,"CHAOS, TRANSPORT, VEHICLE",,Soulshatter lascannon,Ranged,2,3,12,-3,D6+1,2,,
Chaos Land Raider,Chaos - Emperor's Children,,f10c-5f3e-c09d-0b12,220,1,12,16,2,,,5,10.0,"CHAOS, TRANSPORT, VEHICLE",,Twin heavy bolter,Ranged,3,3,5,-1,2,1,"Sustained Hits 1, Twin-linked",
Chaos Rhino,Chaos - Emperor's Children,,8ae1-aa47-e1d1-1b31,70,1,9,10,3,,,2,12.0,"CHAOS, TRANSPORT, VEHICLE",,Armoured tracks,Melee,3,4,6,0,1,1,,
Chaos Rhino,Chaos - Emperor's Children,,8ae1-aa47-e1d1-1b31,70,1,9,10,3,,,2,12.0,"CHAOS, TRANSPORT, VEHICLE",,Combi-bolter,Ranged,2,3,4,0,1,1,Rapid Fire 2,
Chaos Spawn,Chaos - Emperor's Children,,896c-5816-3abd-5199,70,2,5,4,4,,,1,10.0,"BEAST, CHAOS",,Hideous Mutations,Melee,D6+2,4,5,-1,2,2,,
Chaos Terminators,Chaos - Emperor's Children,,5926-4deb-a85d-c73a,145,5,5,3,2,4,,1,6.0,"CHAOS, INFANTRY",,Combi-bolter,Ranged,2,3,4,0,1,1,Rapid Fire 2,
Chaos Terminators,Chaos - Emperor's Children,,5926-4deb-a85d-c73a,145,5,5,3,2,4,,1,6.0,"CHAOS, INFANTRY",,Accursed weapon,Melee,4,3,5,-2,1,1,,
Chaos Terminators,Chaos - Emperor's Children,,5926-4deb-a85d-c73a,145,5,5,3,2,4,,1,6.0,"CHAOS, INFANTRY",,Combi-bolter,Ranged,2,3,4,0,1,4,Rapid Fire 2,
Chaos Terminators,Chaos - Emperor's Children,,5926-4deb-a85d-c73a,145,5,5,3,2,4,,1,6.0,"CHAOS, INFANTRY",,Accursed weapon,Melee,4,3,5,-2,1,4,,
Daemon Prince of Slaanesh,Chaos - Emperor's Children,,ad59-b823-900d-ee2d,170,1,10,10,2,4,,3,10.0,"CHAOS, CHARACTER, DAEMON, MONSTER",,➤ Hellforged weapons - strike,Melee,6,2,8,-2,3,1,,
Daemon Prince of Slaanesh,Chaos - Emperor's Children,,ad59-b823-900d-ee2d,170,1,10,10,2,4,,3,10.0,"CHAOS, CHARACTER, DAEMON, MONSTER",,Infernal cannon,Ranged,3,2,5,-1,2,1,,
Daemon Prince of Slaanesh with Wings,Chaos - Emperor's Children,,e452-08be-33e6-3864,205,1,9,10,2,4,,3,14.0,"CHAOS, CHARACTER, DAEMON, FLY, MONSTER",,➤ Hellforged weapons - strike,Melee,6,2,8,-2,3,1,,
Daemon Prince of Slaanesh with Wings,Chaos - Emperor's Children,,e452-08be-33e6-3864,205,1,9,10,2,4,,3,14.0,"CHAOS, CHARACTER, DAEMON, FLY, MONSTER",,Infernal cannon,Ranged,3,2,5,-1,2,1,,
Daemonettes,Chaos - Emperor's Children,,06f6-b870-4e43-4ed9,100,10,3,1,7,5,,1,9.0,"BATTLELINE, CHAOS, DAEMON, INFANTRY",,Slashing claws,Melee,3,3,4,-1,1,9,Devastating Wounds,
Daemonettes,Chaos - Emperor's Children,,06f6-b870-4e43-4ed9,100,10,3,1,7,5,,1,9.0,"BATTLELINE, CHAOS, DAEMON, INFANTRY",,Slashing claws,Melee,3,3,4,-1,1,1,Devastating Wounds,
Defiler,Chaos - Emperor's Children,,b541-3292-a5cc-dbeb,300,1,11,18,3,5,,5,12.0,"CHAOS, DAEMON, VEHICLE, WALKER",,Shearing claws - strike,Melee,5,3,16,-3,D6+1,1,,
Defiler,Chaos - Emperor's Children,,b541-3292-a5cc-dbeb,300,1,11,18,3,5,,5,12.0,"CHAOS, DAEMON, VEHICLE, WALKER",,Shearing claws - sweep,Melee,10,3,6,-2,1,1,,
Defiler,Chaos - Emperor's Children,,b541-3292-a5cc-dbeb,300,1,11,18,3,5,,5,12.0,"CHAOS, DAEMON, VEHICLE, WALKER",,➤ Heavy missile launcher - frag,Ranged,2D6,3,5,-1,1,1,Blast,
Defiler,Chaos - Emperor's Children,,b541-3292-a5cc-dbeb,300,1,11,18,3,5,,5,12.0,"CHAOS, DAEMON, VEHICLE, WALKER",,Hades battle cannon,Ranged,D6+3,3,10,-1,3,1,Blast,
Defiler,Chaos - Emperor's Children,,b541-3292-a5cc-dbeb,300,1,11,18,3,5,,5,12.0,"CHAOS, DAEMON, VEHICLE, WALKER",,Heavy baleflamer,Ranged,D6+3,2,7,-2,2,1,"Torrent, Ignores Cover",
Defiler,Chaos - Emperor's Children,,b541-3292-a5cc-dbeb,300,1,11,18,3,5,,5,12.0,"CHAOS, DAEMON, VEHICLE, WALKER",,Excruciator cannon,Ranged,6,3,6,-1,2,2,,
Fiends,Chaos - Emperor's Children,,c2ca-f754-cc05-0743,90,3,5,4,7,5,,2,12.0,"BEAST, CHAOS, DAEMON",,Barbed tail and dissecting claws,Melee,5,3,5,-2,2,2,Devastating Wounds,
Fiends,Chaos - Emperor's Children,,c2ca-f754-cc05-0743,90,3,5,4,7,5,,2,12.0,"BEAST, CHAOS, DAEMON",,Barbed tail and dissecting claws,Melee,5,3,5,-2,2,1,Devastating Wounds,
Flawless Blades,Chaos - Emperor's Children,,183e-f3bb-3ce6-7b55,95,3,5,3,3,5,,1,8.0,"CHAOS, INFANTRY",,Blissblade,Melee,4,2,6,-3,2,3,,
Flawless Blades,Chaos - Emperor's Children,,183e-f3bb-3ce6-7b55,95,3,5,3,3,5,,1,8.0,"CHAOS, INFANTRY",,Bolt pistol,Ranged,1,3,4,0,1,3,,
Fulgrim,Chaos - Emperor's Children,,1e0a-cf2b-6602-2a34,340,1,11,16,2,4,,6,16.0,"CHAOS, CHARACTER, DAEMON, EPIC HERO, FLY, MONSTER",,Malefic lash,Ranged,6,2,8,-2,2,1,Sustained Hits 1,
Fulgrim,Chaos - Emperor's Children,,1e0a-cf2b-6602-2a34,340,1,11,16,2,4,,6,16.0,"CHAOS, CHARACTER, DAEMON, EPIC HERO, FLY, MONSTER",,Serpentine tail,Melee,6,2,6,-1,1,1,,
Fulgrim,Chaos - Emperor's Children,,1e0a-cf2b-6602-2a34,340,1,11,16,2,4,,6,16.0,"CHAOS, CHARACTER, DAEMON, EPIC HERO, FLY, MONSTER",,➤ Daemonic blades - strike,Melee,6,2,14,-3,D6+1,1,Sustained Hits 1,
Heldrake,Chaos - Emperor's Children,,3750-df25-165d-d003,175,1,10,14,3,5,,0,12.0,"CHAOS, DAEMON, FLY, VEHICLE",,Heldrake claws,Melee,5,3,7,-1,2,1,"Devastating Wounds, Anti-Fly 2+",
Heldrake,Chaos - Emperor's Children,,3750-df25-165d-d003,175,1,10,14,3,5,,0,12.0,"CHAOS, DAEMON, FLY, VEHICLE",,Hades autocannon,Ranged,6,3,8,-1,2,1,,
Infractors,Chaos - Emperor's Children,,e456-0afc-9b42-226c,85,5,4,2,3,,,2,7.0,"BATTLELINE, CHAOS, INFANTRY",,Bolt pistol,Ranged,1,3,4,0,1,1,,
Infractors,Chaos - Emperor's Children,,e456-0afc-9b42-226c,85,5,4,2,3,,,2,7.0,"BATTLELINE, CHAOS, INFANTRY",,Rapture lash,Melee,6,3,4,-1,1,1,,
Infractors,Chaos - Emperor's Children,,e456-0afc-9b42-226c,85,5,4,2,3,,,2,7.0,"BATTLELINE, CHAOS, INFANTRY",,Duelling sabre,Melee,4,3,4,-1,1,4,,
Infractors,Chaos - Emperor's Children,,e456-0afc-9b42-226c,85,5,4,2,3,,,2,7.0,"BATTLELINE, CHAOS, INFANTRY",,Bolt pistol,Ranged,1,3,4,0,1,4,,
Keeper of Secrets,Chaos - Emperor's Children,,7b2b-4508-263d-f20f,265,1,10,18,5,4,,5,14.0,"CHAOS, CHARACTER, DAEMON, MONSTER, PSYKER",,➤ Phantasmagoria - witchfire,Ranged,6,2,6,-2,1,1,Devastating Wounds,
Keeper of Secrets,Chaos - Emperor's Children,,7b2b-4508-263d-f20f,265,1,10,18,5,4,,5,14.0,"CHAOS, CHARACTER, DAEMON, MONSTER, PSYKER",,Snapping claws,Melee,4,2,6,-2,3,1,Devastating Wounds,
Keeper of Secrets,Chaos - Emperor's Children,,7b2b-4508-263d-f20f,265,1,10,18,5,4,,5,14.0,"CHAOS, CHARACTER, DAEMON, MONSTER, PSYKER",,Witstealer sword,Melee,6,2,8,-2,3,1,,
Lord Exultant,Chaos - Emperor's Children,,7b4c-dfe0-6a0a-304a,90,1,4,5,3,4,,1,7.0,"CHAOS, CHARACTER, INFANTRY",,Close combat weapon,Melee,6,2,4,0,1,1,,
Lord Exultant,Chaos - Emperor's Children,,7b4c-dfe0-6a0a-304a,90,1,4,5,3,4,,1,7.0,"CHAOS, CHARACTER, INFANTRY",,Bolt pistol,Ranged,1,3,4,0,1,1,,
Lord Exultant,Chaos - Emperor's Children,,7b4c-dfe0-6a0a-304a,90,1,4,5,3,4,,1,7.0,"CHAOS, CHARACTER, INFANTRY",,Rapture lash,Melee,4,2,4,-1,1,1,,
Lord Exultant,Chaos - Emperor's Children,,7b4c-dfe0-6a0a-304a,90,1,4,5,3,4,,1,7.0,"CHAOS, CHARACTER, INFANTRY",,Phoenix power spear,Melee,5,2,7,-2,2,1,Lance,
Lord Kakophonist,Chaos - Emperor's Children,,ee50-955a-0a81-41f1,70,1,5,6,2,4,,1,6.0,"CHAOS, CHARACTER, INFANTRY",,Screamer pistol,Ranged,3,2,5,-1,2,1,Ignores Cover,
Lord Kakophonist,Chaos - Emperor's Children,,ee50-955a-0a81-41f1,70,1,5,6,2,4,,1,6.0,"CHAOS, CHARACTER, INFANTRY",,Power sword,Melee,6,2,5,-2,1,1,,
Lucius the Eternal,Chaos - Emperor's Children,,e390-b58b-db9-816,120,1,5,6,2,4,,1,8.0,"CHAOS, CHARACTER, EPIC HERO, INFANTRY",,Blade of the Laer,Melee,6,2,8,-3,3,1,,
Lucius the Eternal,Chaos - Emperor's Children,,e390-b58b-db9-816,120,1,5,6,2,4,,1,8.0,"CHAOS, CHARACTER, EPIC HERO, INFANTRY",,Lash of Torment,Melee,10,2,4,-1,1,1,Sustained Hits 1,
Maulerfiend,Chaos - Emperor's Children,,656c-8b78-8e59-0591,120,1,10,12,3,5,,3,10.0,"CHAOS, DAEMON, VEHICLE, WALKER",,Maulerfiend fists,Melee,6,3,14,-2,D6+1,1,,
Maulerfiend,Chaos - Emperor's Children,,656c-8b78-8e59-0591,120,1,10,12,3,5,,3,10.0,"CHAOS, DAEMON, VEHICLE, WALKER",,Lasher tendrils,Melee,6,3,7,-1,1,1,,
Noise Marines,Chaos - Emperor's Children,,5817-0d6c-973c-68f8,145,6,5,2,3,,,1,6.0,"CHAOS, INFANTRY",,Close combat weapon,Melee,3,3,4,0,1,1,,
Noise Marines,Chaos - Emperor's Children,,5817-0d6c-973c-68f8,145,6,5,2,3,,,1,6.0,"CHAOS, INFANTRY",,Power sword,Melee,4,3,5,-2,1,1,,
Noise Marines,Chaos - Emperor's Children,,5817-0d6c-973c-68f8,145,6,5,2,3,,,1,6.0,"CHAOS, INFANTRY",,Screamer pistol,Ranged,3,3,5,-1,2,1,Ignores Cover,
Noise Marines,Chaos - Emperor's Children,,5817-0d6c-973c-68f8,145,6,5,2,3,,,1,6.0,"CHAOS, INFANTRY",,Sonic blaster,Ranged,3,3,5,-1,2,3,Ignores Cover,
Noise Marines,Chaos - Emperor's Children,,5817-0d6c-973c-68f8,145,6,5,2,3,,,1,6.0,"CHAOS, INFANTRY",,Close combat weapon,Melee,3,3,4,0,1,3,,
Noise Marines,Chaos - Emperor's Children,,5817-0d6c-973c-68f8,145,6,5,2,3,,,1,6.0,"CHAOS, INFANTRY",,Sonic blaster,Ranged,3,3,5,-1,2,2,Ignores Cover,
Noise Marines,Chaos - Emperor's Children,,5817-0d6c-973c-68f8,145,6,5,2,3,,,1,6.0,"CHAOS, INFANTRY",,Close combat weapon,Melee,3,3,4,0,1,2,,
Seekers,Chaos - Emperor's Children,,c9df-2c38-25e5-ffc7,85,5,4,2,7,5,,1,14.0,"CHAOS, DAEMON, MOUNTED",,Lashing tongues,Melee,2,4,4,0,1,4,Lethal Hits,
Seekers,Chaos - Emperor's Children,,c9df-2c38-25e5-ffc7,85,5,4,2,7,5,,1,14.0,"CHAOS, DAEMON, MOUNTED",,Slashing claws,Melee,3,3,4,-1,1,4,Devastating Wounds,
Seekers,Chaos - Emperor's Children,,c9df-2c38-25e5-ffc7,85,5,4,2,7,5,,1,14.0,"CHAOS, DAEMON, MOUNTED",,Lashing tongues,Melee,2,4,4,0,1,1,Lethal Hits,
Seekers,Chaos - Emperor's Children,,c9df-2c38-25e5-ffc7,85,5,4,2,7,5,,1,14.0,"CHAOS, DAEMON, MOUNTED",,Slashing claws,Melee,3,3,4,-1,1,1,Devastating Wounds,
Shalaxi Helbane,Chaos - Emperor's Children,,20df-143c-fc59-77e0,315,1,10,20,3,4,,5,14.0,"CHAOS, CHARACTER, DAEMON, EPIC HERO, MONSTER, PSYKER",,Lash of Slaanesh,Ranged,6,2,6,-1,2,1,,
Shalaxi Helbane,Chaos - Emperor's Children,,20df-143c-fc59-77e0,315,1,10,20,3,4,,5,14.0,"CHAOS, CHARACTER, DAEMON, EPIC HERO, MONSTER, PSYKER",,➤ Pavane of Slaanesh - witchfire,Ranged,D6,2,9,-1,D3,1,Devastating Wounds,
Shalaxi Helbane,Chaos - Emperor's Children,,20df-143c-fc59-77e0,315,1,10,20,3,4,,5,14.0,"CHAOS, CHARACTER, DAEMON, EPIC HERO, MONSTER, PSYKER",,Snapping claws,Melee,4,2,6,-2,3,1,Devastating Wounds,
Shalaxi Helbane,Chaos - Emperor's Children,,20df-143c-fc59-77e0,315,1,10,20,3,4,,5,14.0,"CHAOS, CHARACTER, DAEMON, EPIC HERO, MONSTER, PSYKER",,Soulpiercer,Melee,6,2,12,-3,D6+2,1,,
Sorcerer,Chaos - Emperor's Children,,2cd1-13f5-d59d-cc7f,55,1,4,4,3,,,1,7.0,"CHAOS, CHARACTER, INFANTRY, PSYKER",,Agonising Energies - witchfire,Ranged,D6,3,5,-1,D3,1,,
Sorcerer,Chaos - Emperor's Children,,2cd1-13f5-d59d-cc7f,55,1,4,4,3,,,1,7.0,"CHAOS, CHARACTER, INFANTRY, PSYKER",,Agonising Energies - focused witchfire,Ranged,D6,3,6,-2,D3,1,Devastating Wounds,
Sorcerer,Chaos - Emperor's Children,,2cd1-13f5-d59d-cc7f,55,1,4,4,3,,,1,7.0,"CHAOS, CHARACTER, INFANTRY, PSYKER",,Force weapon,Melee,4,3,6,-2,D3,1,,
Sorcerer,Chaos - Emperor's Children,,2cd1-13f5-d59d-cc7f,55,1,4,4,3,,,1,7.0,"CHAOS, CHARACTER, INFANTRY, PSYKER",,Bolt pistol,Ranged,1,3,4,0,1,1,,
Tormentors,Chaos - Emperor's Children,,4494-dd7d-69f7-306c,80,5,4,2,3,,,2,7.0,"BATTLELINE, CHAOS, INFANTRY",,Bolt pistol,Ranged,1,3,4,0,1,1,,
Tormentors,Chaos - Emperor's Children,,4494-dd7d-69f7-306c,80,5,4,2,3,,,2,7.0,"BATTLELINE, CHAOS, INFANTRY",,Rapture lash,Melee,6,3,4,-1,1,1,,
Tormentors,Chaos - Emperor's Children,,4494-dd7d-69f7-306c,80,5,4,2,3,,,2,7.0,"BATTLELINE, CHAOS, INFANTRY",,Boltgun,Ranged,2,3,4,0,1,4,,
Tormentors,Chaos - Emperor's Children,,4494-dd7d-69f7-306c,80,5,4,2,3,,,2,7.0,"BATTLELINE, CHAOS, INFANTRY",,Close combat weapon,Melee,3,3,4,0,1,4,,
Ahriman,Chaos - Thousand Sons,,3bfa-bf00-b5ed-cc81,100,1,4,6,3,4,,2,10.0,"CHAOS, CHARACTER, EPIC HERO, FLY, INFANTRY, MOUNTED, PSYKER",,Transmogrifying Blast,Ranged,D6+1,2,6,-1,D3,1,Blast,
Ahriman,Chaos - Thousand Sons,,3bfa-bf00-b5ed-cc81,100,1,4,6,3,4,,2,10.0,"CHAOS, CHARACTER, EPIC HERO, FLY, INFANTRY, MOUNTED, PSYKER",,Black Staff of Ahriman,Melee,5,2,7,-1,3,1,,
Ahriman,Chaos - Thousand Sons,,3bfa-bf00-b5ed-cc81,100,1,4,6,3,4,,2,10.0,"CHAOS, CHARACTER, EPIC HERO, FLY, INFANTRY, MOUNTED, PSYKER",,Inferno bolt pistol,Ranged,1,2,4,-1,1,1,,
Blue Horrors,Chaos - Thousand Sons,,aec5-4419-39e7-3e63,90,10,3,1,7,4,,0,6.0,"BATTLELINE, CHAOS, DAEMON, INFANTRY",,Coruscating Blue flames,Ranged,2,4,3,-1,1,10,,
Blue Horrors,Chaos - Thousand Sons,,aec5-4419-39e7-3e63,90,10,3,1,7,4,,0,6.0,"BATTLELINE, CHAOS, DAEMON, INFANTRY",,Blue claws,Melee,1,5,3,0,1,10,,
Blue Horrors,Chaos - Thousand Sons,,aec5-4419-39e7-3e63,90,10,3,1,7,4,,0,6.0,"BATTLELINE, CHAOS, DAEMON, INFANTRY",,Coruscating Yellow flames (ref. only),Ranged,2,5,2,-1,1,10,,
Blue Horrors,Chaos - Thousand Sons,,aec5-4419-39e7-3e63,90,10,3,1,7,4,,0,6.0,"BATTLELINE, CHAOS, DAEMON, INFANTRY",,Yellow claws (ref. only),Melee,2,5,2,0,1,10,,
Chaos Land Raider,Chaos - Thousand Sons,,dfde-eaff-e63e-3aae,220,1,12,16,2,,,5,10.0,"CHAOS, TRANSPORT, VEHICLE",,Armoured tracks,Melee,6,4,8,0,1,1,,
Chaos Land Raider,Chaos - Thousand Sons,,dfde-eaff-e63e-3aae,220,1,12,16,2,,,5,10.0,"CHAOS, TRANSPORT, VEHICLE",,Soulshatter lascannon,Ranged,2,3,12,-3,D6+1,2,,
Chaos Land Raider,Chaos - Thousand Sons,,dfde-eaff-e63e-3aae,220,1,12,16,2,,,5,10.0,"CHAOS, TRANSPORT, VEHICLE",,Twin inferno heavy bolter,Ranged,3,3,5,-2,2,1,"Sustained Hits 1, Twin-linked",
Chaos Predator Annihilator,Chaos - Thousand Sons,,a619-beee-4bde-d049,140,1,10,11,3,,,3,10.0,"CHAOS, VEHICLE",,Predator twin lascannon,Ranged,1,3,14,-3,D6+1,1,Twin-linked,
Chaos Predator Annihilator,Chaos - Thousand Sons,,a619-beee-4bde-d049,140,1,10,11,3,,,3,10.0,"CHAOS, VEHICLE",,Armoured tracks,Melee,3,4,6,0,1,1,,
Chaos Predator Destructor,Chaos - Thousand Sons,,4819-dbbe-8547-4e23,140,1,10,11,3,,,3,10.0,"CHAOS, VEHICLE",,Predator autocannon,Ranged,4,3,9,-1,3,1,Rapid Fire 2,
Chaos Predator Destructor,Chaos - Thousand Sons,,4819-dbbe-8547-4e23,140,1,10,11,3,,,3,10.0,"CHAOS, VEHICLE",,Armoured tracks,Melee,3,4,6,0,1,1,,
Chaos Rhino,Chaos - Thousand Sons,,8d9b-b949-2557-dcc4,80,1,9,10,3,,,2,12.0,"CHAOS, TRANSPORT, VEHICLE",,Armoured tracks,Melee,3,4,6,0,1,1,,
Chaos Rhino,Chaos - Thousand Sons,,8d9b-b949-2557-dcc4,80,1,9,10,3,,,2,12.0,"CHAOS, TRANSPORT, VEHICLE",,Inferno combi-bolter,Ranged,2,3,4,-2,1,1,Rapid Fire 2,
Chaos Spawn,Chaos - Thousand Sons,,60de-4c77-95e1-1337,65,2,5,4,4,5,,1,8.0,"BEAST, CHAOS",,Hideous Mutations,Melee,D6+2,4,5,-1,2,2,,
Chaos Spawn (Flesh Change),Chaos - Thousand Sons,,dd17-8cb8-ed8c-f6c8,65,1,5,4,4,5,,1,8.0,"BEAST, CHAOS",,Hideous Mutations,Melee,D6+2,4,5,-1,2,1,,
Chaos Vindicator,Chaos - Thousand Sons,,3413-b8fd-e22c-da4f,185,1,11,11,2,,,3,9.0,"CHAOS, VEHICLE",,Demolisher cannon,Ranged,D6+3,3,14,-3,D6,1,Blast,
Chaos Vindicator,Chaos - Thousand Sons,,3413-b8fd-e22c-da4f,185,1,11,11,2,,,3,9.0,"CHAOS, VEHICLE",,Armoured tracks,Melee,3,4,6,0,1,1,,
Daemon Prince of Tzeentch,Chaos - Thousand Sons,,eccd-e442-607b-3fd0,170,1,10,10,2,4,,3,9.0,"CHAOS, CHARACTER, DAEMON, MONSTER, PSYKER",,Dark Blessing,Ranged,9,2,4,-1,1,1,"Sustained Hits 1, Ignores Cover",
Daemon Prince of Tzeentch,Chaos - Thousand Sons,,eccd-e442-607b-3fd0,170,1,10,10,2,4,,3,9.0,"CHAOS, CHARACTER, DAEMON, MONSTER, PSYKER",,➤ Hellforged weapons - strike,Melee,6,2,8,-2,3,1,Devastating Wounds,
Daemon Prince of Tzeentch,Chaos - Thousand Sons,,eccd-e442-607b-3fd0,170,1,10,10,2,4,,3,9.0,"CHAOS, CHARACTER, DAEMON, MONSTER, PSYKER",,Infernal cannon,Ranged,3,2,5,-2,2,1,,
Daemon Prince of Tzeentch with wings,Chaos - Thousand Sons,,66f4-929e-1769-f277,170,1,9,10,2,4,,3,13.0,"CHAOS, CHARACTER, DAEMON, FLY, MONSTER, PSYKER",,Dark Blessing,Ranged,9,2,4,-1,1,1,"Sustained Hits 1, Ignores Cover",
Daemon Prince of Tzeentch with wings,Chaos - Thousand Sons,,66f4-929e-1769-f277,170,1,9,10,2,4,,3,13.0,"CHAOS, CHARACTER, DAEMON, FLY, MONSTER, PSYKER",,➤ Hellforged weapons - strike,Melee,6,2,8,-2,3,1,Devastating Wounds,
Daemon Prince of Tzeentch with wings,Chaos - Thousand Sons,,66f4-929e-1769-f277,170,1,9,10,2,4,,3,13.0,"CHAOS, CHARACTER, DAEMON, FLY, MONSTER, PSYKER",,Infernal cannon,Ranged,3,2,5,-2,2,1,,
Defiler,Chaos - Thousand Sons,,f158-2979-c38b-65b5,300,1,11,18,3,5,,5,12.0,"CHAOS, DAEMON, VEHICLE, WALKER",,Shearing claws - strike,Melee,5,3,16,-3,D6+1,1,,
